SourcesPerBlock,TargetsPerBlock,BlockSize,SourceBlocksPerKernel,TargetBlocksPerKernel,iter0,iter1,iter2
5,1000,512,100,65535,1.13674,1.04551,1.02381
5,1000,512,1000,100,1.1342,1.043,1.02165
5,1000,512,1000,1000,1.14596,1.04416,1.02165
5,1000,512,1000,65535,1.18649,1.04449,1.02253
5,1000,512,65535,100,1.14727,1.04373,1.0235
5,1000,512,65535,1000,1.13636,1.04424,1.0228
5,1000,512,65535,65535,1.13189,1.04419,1.02264
5,10000,256,100,100,1.21914,1.12685,0.994351
5,10000,256,100,1000,1.2467,1.15139,0.986523
5,10000,256,100,65535,1.25775,1.06555,0.988371
5,10000,256,1000,100,1.15442,1.02718,0.95276
5,10000,256,1000,1000,1.12103,1.01557,0.952356
5,10000,256,1000,65535,1.12331,1.01855,0.960053
5,10000,256,65535,100,1.12955,1.05654,0.958539
5,10000,256,65535,1000,1.12126,1.61119,0.958411
5,10000,256,65535,65535,1.14927,1.04946,0.954824
5,10000,512,100,100,1.25315,1.13245,1.05659
5,10000,512,100,1000,1.25286,1.14199,1.06061
5,10000,512,100,65535,1.22888,1.13247,1.06085
5,10000,512,1000,100,1.24535,1.1157,1.06192
5,10000,512,1000,1000,1.23643,1.1207,1.06078
5,10000,512,1000,65535,1.24997,1.1303,1.05442
5,10000,512,65535,100,1.26788,1.12715,1.06149
5,10000,512,65535,1000,1.24033,1.81974,1.05803
5,10000,512,65535,65535,1.22459,1.12166,1.06164
5,20000,256,100,100,1.22914,1.08462,0.984619
5,20000,256,100,1000,1.22721,1.12697,0.997884
5,20000,256,100,65535,1.27196,1.15218,0.995786
5,20000,256,1000,100,1.16739,1.02272,0.954394
5,20000,256,1000,1000,1.13953,1.6041,0.945187
5,20000,256,1000,65535,1.10692,1.02484,0.957622
5,20000,256,65535,100,1.12602,1.02446,0.963304
5,20000,256,65535,1000,1.11942,1.03851,0.959818
5,20000,256,65535,65535,1.15164,1.02736,0.960316
5,20000,512,100,100,1.27084,1.1208,1.06185
5,20000,512,100,1000,1.25197,1.12661,1.05848
5,20000,512,100,65535,1.21164,1.12609,1.05428
5,20000,512,1000,100,1.26527,1.13018,1.05792
5,20000,512,1000,1000,1.24969,1.12656,1.05659
5,20000,512,1000,65535,1.24876,1.11134,1.05994
5,20000,512,65535,100,1.25793,1.1212,1.05726
5,20000,512,65535,1000,1.25075,1.12757,1.05782
5,20000,512,65535,65535,1.21002,1.13973,1.05849
10,100,256,100,100,1.22547,1.13194,1.09833
10,100,256,100,1000,1.22945,1.13167,1.09778
10,100,256,100,65535,1.27736,1.13147,1.0979
10,100,256,1000,100,1.2387,1.13245,1.09888
10,100,256,1000,1000,1.22814,1.13186,1.09885
10,100,256,1000,65535,1.22571,1.13265,1.09889
10,100,256,65535,100,1.22383,1.13205,1.09872
10,100,256,65535,1000,1.23932,1.13255,1.09852
10,100,256,65535,65535,1.27087,1.13222,1.09903
10,100,512,100,100,1.02354,0.940817,0.912994
10,100,512,100,1000,1.01799,0.940621,0.912976
10,100,512,100,65535,1.02714,0.940414,0.912804
10,100,512,1000,100,1.02396,0.94041,0.913238
10,100,512,1000,1000,1.02745,0.941261,0.913654
10,100,512,1000,65535,1.02718,0.940757,0.913627
10,100,512,65535,100,1.06658,0.940569,0.913501
10,100,512,65535,1000,1.02594,0.941294,0.913511
10,100,512,65535,65535,1.03331,0.940685,0.913653
10,1000,256,100,100,1.24229,1.16981,1.12535
10,1000,256,100,1000,1.24727,1.16503,1.12764
10,1000,256,100,65535,1.24691,1.1693,1.12603
10,1000,256,1000,100,1.27062,1.17088,1.13042
10,1000,256,1000,1000,1.24932,1.16289,1.13225
10,1000,256,1000,65535,1.23666,1.16727,1.13141
10,1000,256,65535,100,1.23945,1.16427,1.12985
10,1000,256,65535,1000,1.23692,1.16663,1.13256
10,1000,256,65535,65535,1.24576,1.16586,1.13121
10,1000,512,100,100,1.07487,0.966912,0.933345
10,1000,512,100,1000,1.03997,0.970321,0.933461
10,1000,512,100,65535,1.03325,0.970301,0.934324
10,1000,512,1000,100,1.03767,0.9684,0.941188
10,1000,512,1000,1000,1.03397,0.971843,0.939624
10,1000,512,1000,65535,1.04043,0.966161,0.938089
10,1000,512,65535,100,1.03183,0.96816,0.939941
